compound_id,name,inchikey,smiles,platform,pubchem,mz,ri,observed_rt_sec,rt_spread_s,n_files,quality
pubchem:65076,cholesterol sulfate,BHYOQNUELFTYRT-UHFFFAOYSA-N,CC1(C2C(C)CCCC(C)C)C(CC2)C(CC=C3C4(CCC(OS(=O)(O)=O)C3)C)C4CC1,lc/ms polar,65076,465.3043,681.0,82.2,0.7,5,1.182
pubchem:338,salicylate,YGSDEFSMJLZEOE-UHFFFAOYSA-N,OC1=C(C(O)=O)C=CC=C1,lc/ms polar,338,137.024418,802.0,45.62,1.0,48,1.617
pubchem:101399,N-formylanthranilic acid,LLLPDUXGHXIXIW-UHFFFAOYSA-N,OC(C1=CC=CC=C1N([H])C=O)=O,lc/ms polar,101399,164.03531,900.0,55.84,4.4,8,0.835
pubchem:1174,uracil,ISAKRJDGNUQOIC-UHFFFAOYSA-N,O=C(NC=C1)NC1=O,lc/ms polar,1174,111.020001,1089.7,96.24,2.0,12,1.079
pubchem:88064,N-acetylalanine,KTHDTJVBEPMMGL-VKHMYHEASA-N,O=C(O)[C@@H](NC(C)=O)C,lc/ms polar,88064,130.05096,1564.8,91.69,23.4,100,1.508
pubchem:967,orotate,PXQPEWDEAKTCGB-UHFFFAOYSA-N,O=C(C1=CC(O)=NC(O)=N1)O,lc/ms polar,967,155.00983,1638.1,96.12,2.0,99,2.007
pubchem:88299,5-acetylamino-6-amino-3-methyluracil,POQOTWQIYYNXAT-UHFFFAOYSA-N,O=C(NC(N)=C1NC(C)=O)N(C)C1=O,lc/ms polar,88299,197.068,1710.0,109.66,10.6,100,1.62
pubchem:161227,2-keto-3-deoxy-gluconate,WPAMZTWLKIDIOP-WVZVXSGGSA-N,OC[C@@H](O)[C@@H](O)CC(C(O)=O)=O,lc/ms polar,161227,177.04046,1900.0,111.82,27.7,99,1.451
pubchem:752,glycerate,RBNPOMFGQQGHHO-UHFFFAOYSA-N,O=C(O)C(O)CO,lc/ms polar,752,105.01933,2070.4,121.83,1.8,100,2.07
pubchem:115015,cysteine s-sulfate,NOKPBJYHPHHWAN-REOHCLBHSA-N,N[C@H](C(O)=O)CSS(O)(=O)=O,lc/ms polar,115015,199.96928,2273.0,137.22,2.6,50,1.459
pubchem:10457,suberate (C8-DC),TYFQFVWCELRYAO-UHFFFAOYSA-N,OC(CCCCCCC(O)=O)=O,lc/ms polar,10457,173.08193,2577.6,154.6,15.5,89,1.42
pubchem:98259,isocitric lactone,UKZDIMBDWHZXOK-UHFFFAOYSA-N,OC(C(C1)C(C(O)=O)OC1=O)=O,lc/ms polar,98259,173.00916,2970.0,250.82,2.2,59,1.591
